id;name;popularity;followers;d
4kcQWQDK0u9AftVSpdrAgk;Luck Ra;76;866006;0
4m6ubhNsdwF4psNf3R8kwR;KHEA;76;5294625;0
2IKdK6PbitvCiXt1t2bPU6;Mesita;72;324795;0
2UZIAOlrnyZmyzt1nuXr9y;Nicki Nicole;80;5891951;0
5Y3MV9DZ0d87NnVm56qSY1;Tiago PZK;78;4600509;0
0AqlFI0tz2DsEoJlKSIiT9;Emilia;81;2335685;0
6C2mFGFh8dz1vKp9l5Ce8P;TWENTY SIX;63;9198;0
3aIuAAH6qMvKYrtxxF7FF7;Tayson Kryss;62;852;0
6HTUcOExehqydqa7C3usAa;Abel Pintos;69;3358214;0
5CA5IqbsFr4hpNLdjgO0BU;DJ Tao;70;579312;0
2Hxu0Wmd7FUm0euCVInVrN;Roze Oficial;70;30583;0
716NhGYqD1jl2wI1Qkgq36;Bizarrap;84;14248550;0
3qsKSpcV3ncke3hw52JSMB;Young Miko;82;2325687;0
5TP8Ubo4jLKEi4Mw2O8fAk;BM;74;696372;0
4i2al9gevm5K5OlbjqzcJs;Peipper;70;95025;0
7vXDAI8JwjW531ouMGbfcp;TINI;78;7451489;0
2LRoIwlKmHjgvigdNGBHNo;Feid;91;9717293;0
7jAs1uPnpfNmT6e5qtEPxq;ATL Jacob;76;13844;0
4GepMkTgrIZECoCC55vqjW;Marama;71;1181944;0
5Rj6rNR8zIlUUDCs1OyPmW;MYA;67;683921;0
32AuV4BxATEf2i7YVhIjht;Robleis;64;755074;0
5nAsuOI0lqqbii7YFCh7cB;Fer Vazquez;60;17406;0
3R8XhCi6bUcoR1CJx2XASa;Flor Alvarez;63;65093;0
3WMlRpW5JWuDI95TcEWt3r;Salastkbron;66;290739;0
5xIOUIBQhGFX7HIj8lhdyU;Omar Varela;68;49044;0
2BTS8Np1YzPQuXjgdlqsBB;Emanero;66;176553;0
1QZuAtDYNrk2QMogJulsyq;Karina;64;476475;0
6iYRN5eaz8LSxvwkhmwkRj;j mena;59;459200;0
6LZA6PhNCwUfHzqfpN1nYL;Angela Torres;62;170549;0
3Apb2lGmGJaBmr0TTBJvIZ;Rusherking;73;1620019;0
2OhUNb01gLwygOizYvTm0e;Big One;73;384801;0
0dUyjgCyjfj5eMx6bX2TWf;FMK;72;1470151;0
06Q5VlSAku57lFzyME3HrM;Ke Personajes;78;3355951;0
19HM5j0ULGSmEoRcrSe5x3;Milo j;82;2375200;0
2UqRkW2wfEkZmyvKyTTv2W;Ulises Bueno;66;1652407;0
4SgKWjM7cJDCh2aY9H4HZf;Marka Akme;63;207680;0
6WAnQfBWB7ddhujPsFQ0pG;Lauty Gram;69;280016;0
48R2gYdPKtfnfKAzhSVPUx;Migrantes;71;377281;0
2qWK8K2Jfh67UqtwY8tCW6;YSY A;76;2538489;0
7fT2Me47PQ8T7954PKrcwR;Bhavi;69;1257052;0
6XkjpgcEsYab502Vr1bBeW;Grupo Frontera;85;3044417;0
0ZCO8oVkMj897cKgFH7fRW;Los Ángeles Azules;76;7157314;0
1DxLCyH42yaHKGK3cl5bvG;Maria Becerra;80;5783097;0
6M6pyt8k3EjvbFo1pZFS75;El negro tecla;64;145961;0
37230BxxYs9ksS7OkZw3IU;Chencho Corleone;78;755536;0
3m5qlPf2OkihLz3dRYnkPA;Ovy On The Drums;71;289106;0
7CvTknweLr9feJtRGrpDBy;FloyyMenor;64;148872;0
1Yj5Xey7kTwvZla8sqdsdE;Cris Mj;78;1856862;0
3ghRXw2nUEH2THaL82hw8R;La K'onga;72;2339757;0
5f9pQjPeDbuRF1GowQXo3L;Gusty dj;66;269290;0
6GRwwWAtmusrgAL5JF9Dfr;Callejero Fino;69;1517702;0
2cdoH2XFAhj0LlSo4P2fJJ;Alejo Isakk;64;678498;0
48nBjHQMSKiboD7Z4fjZLi;R Jota;59;127407;0
4YYxffPVDFe9XoqqbRW6Bq;L-Gante;67;2192224;0
1HAO6fqdAGX5CiWxBvhiyv;Lolo OG;63;65109;0
2eXWodjj5K1vVq2CSjl036;DobleP;64;60416;0
7iK8PXO48WeuP03g8YR51W;Myke Towers;86;13852352;0
4d7tFHxzWvzfsgCqPAEOSQ;El Joan;60;16734;0
7psSmcUfVtqIeuWKKd8Md2;Celso El Potente;59;843;0
1FxPMQ9A0882eNDx3ZkD6B;La T y La M;68;599895;0
2Htm0q72SjGSmsy8EOIhRG;Los Palmeras;65;1810696;0
3ZfYo6sKskRv0wOyrZZdAj;Sayian Jimmy;63;187906;0
5v0eLOwGUJuH1lvPSzw0xD;Nysix Music;62;3785;0
35oGZihZclGoTVuICPXRP9;Jere Klein;78;1215744;0
4rRwh9ghjocFABAwIwnunp;Gittobeatz;70;6979;0
52iwsT98xCoGgiGntTiR7K;Quevedo;84;3937678;0
6oMRQ5H3A2XA5I3RG3leni;Alan Gomez;67;1081127;0
1vqR17Iv8VFdzure1TAXEq;LIT killah;72;5226189;0
1bAftSH8umNcGZ0uyV7LMg;Duki;82;10030267;0
4q3ewBCX7sLwd24euuV69X;Bad Bunny;95;78332114;0
1TtXnWcUs0FCkaZDPGYHdf;Darell;76;4209177;0
6rHwFb0YjWexAYxTjm4eIj;Nickoog Clk;71;530359;0
11HepfI1lj6KJHj651rZhM;Lucky Brown;71;269790;0
2vnaEm73LHWfchNiQccNBa;El BAI;67;326480;0
6mkRgafSHF30Dr2wEch4YU;ONIRIA;68;11121;0
6pJPxDgaE0H343SrASnY9J;Yesan 雪山;61;13502;0
4oZolC0sCwCAKqsNXfRlVS;The La Planta;63;269661;1
4IG1SDlwgNKzqTmjBrvY3K;Rei;62;598329;1
4C29ETLBPmYKYwtJUepbJz;Seven Kayne;58;1305336;1
01m2XZ7m7rAz6KY3scTdaV;Neo Pistea;63;1232637;1
4puAp107dCehraE47QXVQX;C.R.O;71;1694190;1
1OBizG9nrnHJkrL9NjnWYN;Lucho SSJ;58;390368;1
6Nl4VXcX86fBMO4YE6oYfN;Asan;59;189225;1
2x7PC78TmgqpEIjaGAZ0Oz;Trueno;75;5497084;1
2Jb9jVnCpWkXtoGznFJ6bF;ECKO;63;1199333;1
4D2d63igYEdzhzFnxrSow7;Frijo;53;790460;1
6cC67GpmPCjQjOYLpmOGhN;Dani Ribba;55;492821;1
5YCc6xS5Gpj3EkaYGdjyNK;WOS;68;4114934;1
6w3SkAHYPsQ1bxV7VDlG5y;Cazzu;72;6659994;1
5eIRbSES1yeGSBuqZ4xvuD;Pekeño 77;48;243856;1
4z1EZw4oQOS65xBnx95O60;Zanto;39;70380;1
2UGqLkLUByrbH1P7d9ThUo;Falke 912;45;96203;1
1iblTHYdU8q8t8nH4sHl8A;Franux BB;45;50715;1
66lf5bQo2BIEue1pxfgxQS;John C;50;221592;1
5kfMU816qY0ujqEt3xIHqR;DT.Bilardo;58;41751;1
3TBQtYdNFCgig6ZrFUJkLx;Santoz;48;36234;1
5PYNYuJvINkkQZV6ncScjf;SPONSOR DIOS;63;25451;1
60XHOAhvEBiV6BGBOv8ClM;La Joaqui;66;1430546;1
22P1OY4TRFRwhP0q29loQ8;Lali;61;1844107;1
3QDq76AYkHaotSMANOG1W9;Hotel Dieu;9;119;1
0UVthdD1eqqsoNLX9ek4Xb;Blackchild (ITA);35;15606;1
56YdPdQqOsfk7s2mS4lXNA;VLTRA (IT);39;4556;1
6HZwb7Zbnvfo8u1sst4QrI;Andruss;52;19303;1
1PzAgFVk9v8cxn9flrqrv5;Joshwa;51;26039;1
4ipu1Wi05H8ZdEkvULDaKI;VITO (UK);25;2172;1
5kcocqSSO8W0rpoNjuzXU1;TREASURE SERIES;42;20898;1
3Eylw4P4DCGqXcQZ4b8Fon;Gabriele Toma;28;2345;1
0X2423nvaH92bYjYUKCYRI;Eddy M;40;22268;1
2M9yha8tr0kCqQj2QqVBxD;Ferra Black;31;2663;1
7vPxzjHbAgoHhiNXORDgf7;Late Replies;28;6402;1
2vOQkFQDXp4QV77pnlet6m;Classmatic;36;19821;1
3EkNQSAIFQSFFqHEi5yccC;Joe Vanditti;27;2235;1
7vIAu0l7icbujUGaOK8HT4;Paluma;30;3332;1
2vtok5FpY8afpLG9ZOmAod;Francis De Simone;24;1245;1
70s7RdFqr3UEBlooMGUQdO;Paskman;43;18154;1
4Ge9GwmWnOQsohwPTrXyHc;Gordo;57;79306;1
3JlN0MeWVJq0vjvsvWCRZ5;Sosa UK;49;32103;1
7MdlXmq2HViAJWo9cf30sR;Cloonee;56;124078;1
0ETxCHseCHEP2jjFYNuDPl;Maurizio Ruggiero;7;111;1
1PerJW3dTTCREGmorRvazt;Kalem;8;267;1
5q7lPfibkG4NwlHt9uJUGZ;Victor Guedez;11;268;1
1sHQPCdw97OD84E9DCBAjR;Will Garcia;14;486;1
24tEt12aPlZyRce0uF95Cr;Elejota Santos;4;294;1
3w13fOLhbYgWgcHu1SctCb;Mrodriguez;17;828;1
4UiscrsMAvNTveh7RaHLL1;Lexont;12;257;1
3mVv4ryrJNL3iFcLqZmbOC;Dj Roberto Da'Silva;25;2096;1
6AaHZ8l8B4ACkCkQ8JaMLD;Angel Doza;16;1131;1
5KInnZ3pX4sHT05DTQbv0A;Wilgenis Vergara;29;2289;1
4wVi3o45KwxkuoUP1kz4Xb;Cristofer Laroye;8;604;1
4UgFoYbaOkIWLFgSOKhw7E;David Figueira;17;1374;1
6Mmw70zSqPeCzN7K9Br57q;Alberto Dimeo;31;9992;1
5Xh26GZCsLrQ5Gzi6Cz0jR;Lobo DJ;24;1502;1
45SolwUehJs6vFkuAfqMf6;Jorge Rojas;47;360451;1
6ZZ2DeepA3GpoGU4KwqSlU;Luciano Pereyra;62;2084302;1
2ydE5oBt6cwsDxH1TpIFmO;Los Nocheros;54;566508;1
0iutktJLkNNtErs8c3EoF6;Los Tekis;48;256047;1
0K59Fm1y7s3j498ueS4qzY;Soledad;57;642546;1
0Dy32zfSrQ332Bz8wsthKJ;La Beriso;57;1785975;1
1GlOpg3dPUft550esb82K3;Chaqueño Palavecino;57;526820;1
796YUyTCTkXZAZg4CLUoWl;Los Huayra;51;197839;1
4ZDoy7AWNgQVmX7T0u0B1j;No Te Va Gustar;67;2153840;1
4She1focTkX0pwpJUtS5eo;Banda XXI;57;707310;1
6Q6qTNC2rAegcR5QjzcRgE;Gilda;58;890453;1
235Vf4hkmwvxjVEMuCbRxm;Rodrigo;60;1721905;1
0mdD8YXAyJDJ2BHxIKF0Yf;Raly Barrionuevo;51;186376;1
2Eo4Yaukt9d6dnZrY5hQKi;Ciro y los Persas;60;1066998;1
3lwRbCTt1qmo0QgXUai8ao;Cacho Castaña;45;259301;1
3ruk44IzmsPppwo7VOknwZ;Dalila;54;752519;1
0D5U7oXEE4dut2DPyUDLca;Las Pastillas del Abuelo;60;1255870;1
4MUsDaGK0nPDJvYSoaoFUA;Perro Primo;55;310228;1
42cc22xiuvWzjmFHSKwwwv;Locura Mix;61;145334;1
5U5wYVqrbD6J8SK4kNhau4;Kaleb Di Masi;58;589074;1
5MVcNHzaXuOnZSrOav2Kav;EL NOBA;56;737040;1
3l4qjCL1496zAgprejycLi;Ezequiel Llanos;45;6398;1
1l6UgL5G16tId4qoYH8qJn;Pushi;56;3810;1
1kyy6AW7C6Rr2jrYwz95Gi;Lira;50;32147;1
41BZwHjzWGfT4wsOP3yZOz;Phontana;56;11563;1
6uceCFXbUnFRoUSqTNevMb;Rocco Gang;5;1283;1
7eCZ5oRjRXT5FGfJ36pPTM;El Perro;49;7445;1
6nEgkeR03q2qtKZmrVq100;El Villano;55;306634;1
2scMRzGhBxMCwJicHhbPYJ;Treze yt;6;1493;1
04XdCDDrPnnqidaVBTOQjt;Hernan y La Champion's Liga;58;112711;1
