Id,Label,name,popularity,followers,d,sex,genre,indegree,outdegree,degree,modularity_class
4q3ewBCX7sLwd24euuV69X,Musica urbana - Latino,Bad Bunny,95,78332114,0,Masculino,Musica urbana - Latino,0,0,0,5
2LRoIwlKmHjgvigdNGBHNo,Pop - Latino,Feid,91,9717293,0,Masculino,Pop - Latino,0,0,0,5
7iK8PXO48WeuP03g8YR51W,Musica urbana - Latino,Myke Towers,86,13852352,0,Masculino,Musica urbana - Latino,0,0,0,5
6XkjpgcEsYab502Vr1bBeW,Musica mexicana,Grupo Frontera,85,3044417,0,Grupo musical,Musica mexicana,0,0,0,3
716NhGYqD1jl2wI1Qkgq36,Musica urbana - Argentino,Bizarrap,84,14248550,0,Masculino,Musica urbana - Argentino,0,0,0,7
52iwsT98xCoGgiGntTiR7K,Musica urbana - Latino,Quevedo,84,3937678,0,Masculino,Musica urbana - Latino,0,0,0,5
1bAftSH8umNcGZ0uyV7LMg,Musica urbana - Argentino,Duki,82,10030267,0,Masculino,Musica urbana - Argentino,0,0,0,7
19HM5j0ULGSmEoRcrSe5x3,Musica urbana - Argentino,Milo j,82,2375200,0,Masculino,Musica urbana - Argentino,0,0,0,7
3qsKSpcV3ncke3hw52JSMB,Musica urbana - Latino,Young Miko,82,2325687,0,Masculino,Musica urbana - Latino,0,0,0,5
0AqlFI0tz2DsEoJlKSIiT9,Pop/Rock - Argentino,Emilia,81,2335685,0,Femenino,Pop/Rock - Argentino,0,0,0,7
2UZIAOlrnyZmyzt1nuXr9y,Musica urbana - Argentino,Nicki Nicole,80,5891951,0,Femenino,Musica urbana - Argentino,0,0,0,7
1DxLCyH42yaHKGK3cl5bvG,Pop/Rock - Argentino,Maria Becerra,80,5783097,0,Femenino,Pop/Rock - Argentino,0,0,0,7
7vXDAI8JwjW531ouMGbfcp,Pop/Rock - Argentino,TINI,78,7451489,0,Femenino,Pop/Rock - Argentino,0,0,0,7
5Y3MV9DZ0d87NnVm56qSY1,Musica urbana - Argentino,Tiago PZK,78,4600509,0,Masculino,Musica urbana - Argentino,0,0,0,7
06Q5VlSAku57lFzyME3HrM,Pop/Rock - Argentino,Ke Personajes,78,3355951,0,Grupo musical,Pop/Rock - Argentino,0,0,0,7
1Yj5Xey7kTwvZla8sqdsdE,Musica urbana - Latino,Cris Mj,78,1856862,0,Masculino,Musica urbana - Latino,0,0,0,0
35oGZihZclGoTVuICPXRP9,Musica urbana - Latino,Jere Klein,78,1215744,0,Masculino,Musica urbana - Latino,0,0,0,0
37230BxxYs9ksS7OkZw3IU,Musica urbana - Latino,Chencho Corleone,78,755536,0,Masculino,Musica urbana - Latino,0,0,0,5
0ZCO8oVkMj897cKgFH7fRW,Musica mexicana,Los Ángeles Azules,76,7157314,0,Masculino,Musica mexicana,0,0,0,3
4m6ubhNsdwF4psNf3R8kwR,Musica urbana - Argentino,KHEA,76,5294625,0,Masculino,Musica urbana - Argentino,0,0,0,7
1TtXnWcUs0FCkaZDPGYHdf,Musica urbana - Latino,Darell,76,4209177,0,Masculino,Musica urbana - Latino,0,0,0,5
2qWK8K2Jfh67UqtwY8tCW6,Musica urbana - Argentino,YSY A,76,2538489,0,Masculino,Musica urbana - Argentino,0,0,0,7
4kcQWQDK0u9AftVSpdrAgk,Musica urbana - Argentino,Luck Ra,76,866006,0,Masculino,Musica urbana - Argentino,0,0,0,7
7jAs1uPnpfNmT6e5qtEPxq,Other,ATL Jacob,76,13844,0,Masculino,Other,0,0,0,8
5TP8Ubo4jLKEi4Mw2O8fAk,Musica urbana - Argentino,BM,74,696372,0,Masculino,Musica urbana - Argentino,0,0,0,7
3Apb2lGmGJaBmr0TTBJvIZ,Musica urbana - Argentino,Rusherking,73,1620019,0,Masculino,Musica urbana - Argentino,0,0,0,7
2OhUNb01gLwygOizYvTm0e,Musica urbana - Argentino,Big One,73,384801,0,Masculino,Musica urbana - Argentino,0,0,0,7
1vqR17Iv8VFdzure1TAXEq,Musica urbana - Argentino,LIT killah,72,5226189,0,Masculino,Musica urbana - Argentino,0,0,0,7
3ghRXw2nUEH2THaL82hw8R,Musica urbana - Argentino,La K'onga,72,2339757,0,Grupo musical,Musica urbana - Argentino,0,0,0,1
0dUyjgCyjfj5eMx6bX2TWf,Musica urbana - Argentino,FMK,72,1470151,0,Masculino,Musica urbana - Argentino,0,0,0,7
