Id	name	popularity	modularity_class	rol	betweenesscentrality
4q3ewBCX7sLwd24euuV69X	Bad Bunny	95	5	role_4	197364981322
2LRoIwlKmHjgvigdNGBHNo	Feid	91	5	role_4	147699996024
7iK8PXO48WeuP03g8YR51W	Myke Towers	86	5	role_3	13670541367
6XkjpgcEsYab502Vr1bBeW	Grupo Frontera	85	3	role_1	196702453988
716NhGYqD1jl2wI1Qkgq36	Bizarrap	84	7	role_3	37981017475
52iwsT98xCoGgiGntTiR7K	Quevedo	84	5	role_5	89522570274
1bAftSH8umNcGZ0uyV7LMg	Duki	82	7	role_3	65466813478
19HM5j0ULGSmEoRcrSe5x3	Milo j	82	7	role_3	80529452132
3qsKSpcV3ncke3hw52JSMB	Young Miko	82	5	role_4	520375489189
0AqlFI0tz2DsEoJlKSIiT9	Emilia	81	7	role_3	255619534785
2UZIAOlrnyZmyzt1nuXr9y	Nicki Nicole	80	7	role_3	187122592499
1DxLCyH42yaHKGK3cl5bvG	Maria Becerra	80	7	role_3	65828857313
7vXDAI8JwjW531ouMGbfcp	TINI	78	7	role_3	52323057222
5Y3MV9DZ0d87NnVm56qSY1	Tiago PZK	78	7	role_3	21970309635
06Q5VlSAku57lFzyME3HrM	Ke Personajes	78	7	role_3	14926594252
1Yj5Xey7kTwvZla8sqdsdE	Cris Mj	78	0	role_3	14619822
35oGZihZclGoTVuICPXRP9	Jere Klein	78	0	role_3	883118618
37230BxxYs9ksS7OkZw3IU	Chencho Corleone	78	5	role_4	31358539346
0ZCO8oVkMj897cKgFH7fRW	Los Ángeles Azules	76	3	role_2	0
4m6ubhNsdwF4psNf3R8kwR	KHEA	76	7	role_3	56402536482
1TtXnWcUs0FCkaZDPGYHdf	Darell	76	5	role_1	4098625728
2qWK8K2Jfh67UqtwY8tCW6	YSY A	76	7	role_3	17991546021
4kcQWQDK0u9AftVSpdrAgk	Luck Ra	76	7	role_3	51924423664
7jAs1uPnpfNmT6e5qtEPxq	ATL Jacob	76	8	role_5	893209045
5TP8Ubo4jLKEi4Mw2O8fAk	BM	74	7	role_3	31998802579
3Apb2lGmGJaBmr0TTBJvIZ	Rusherking	73	7	role_1	49898520164
2OhUNb01gLwygOizYvTm0e	Big One	73	7	role_4	23665608786
1vqR17Iv8VFdzure1TAXEq	LIT killah	72	7	role_3	50507924523
3ghRXw2nUEH2THaL82hw8R	La K'onga	72	1	role_4	78493707385
0dUyjgCyjfj5eMx6bX2TWf	FMK	72	7	role_3	34406710098
2IKdK6PbitvCiXt1t2bPU6	Mesita	72	7	role_1	110196339554
4GepMkTgrIZECoCC55vqjW	Marama	71	7	role_3	47248201012
6rHwFb0YjWexAYxTjm4eIj	Nickoog Clk	71	0	role_1	3171894298
48R2gYdPKtfnfKAzhSVPUx	Migrantes	71	7	role_1	172920564736
3m5qlPf2OkihLz3dRYnkPA	Ovy On The Drums	71	5	role_0	244151935362
11HepfI1lj6KJHj651rZhM	Lucky Brown	71	0	role_1	396984918
5CA5IqbsFr4hpNLdjgO0BU	DJ Tao	70	7	role_1	24561977101
4i2al9gevm5K5OlbjqzcJs	Peipper	70	7	role_1	96533109058
2Hxu0Wmd7FUm0euCVInVrN	Roze Oficial	70	7	role_1	62479602766
4rRwh9ghjocFABAwIwnunp	Gittobeatz	70	0	role_1	32703978156
6HTUcOExehqydqa7C3usAa	Abel Pintos	69	1	role_2	27526341124
6GRwwWAtmusrgAL5JF9Dfr	Callejero Fino	69	7	role_3	37831069116
7fT2Me47PQ8T7954PKrcwR	Bhavi	69	7	role_1	19181440296
6WAnQfBWB7ddhujPsFQ0pG	Lauty Gram	69	7	role_3	11300062222
1FxPMQ9A0882eNDx3ZkD6B	La T y La M	68	7	role_3	49729466005
5xIOUIBQhGFX7HIj8lhdyU	Omar Varela	68	7	role_3	22385785349
6mkRgafSHF30Dr2wEch4YU	ONIRIA	68	7	role_3	7557110706
4YYxffPVDFe9XoqqbRW6Bq	L-Gante	67	7	role_3	10503459912
6oMRQ5H3A2XA5I3RG3leni	Alan Gomez	67	7	role_1	2866637617
5Rj6rNR8zIlUUDCs1OyPmW	MYA	67	7	role_4	18045161384
2vnaEm73LHWfchNiQccNBa	El BAI	67	0	role_1	6371191966
2UqRkW2wfEkZmyvKyTTv2W	Ulises Bueno	66	1	role_4	163379426022
3WMlRpW5JWuDI95TcEWt3r	Salastkbron	66	7	role_1	10343314796
5f9pQjPeDbuRF1GowQXo3L	Gusty dj	66	7	role_3	1379778877
2BTS8Np1YzPQuXjgdlqsBB	Emanero	66	7	role_3	15114588583
2Htm0q72SjGSmsy8EOIhRG	Los Palmeras	65	1	role_4	111586432389
32AuV4BxATEf2i7YVhIjht	Robleis	64	2	role_1	130344763767
2cdoH2XFAhj0LlSo4P2fJJ	Alejo Isakk	64	7	role_3	23868430333
1QZuAtDYNrk2QMogJulsyq	Karina	64	7	role_4	145521611111
7CvTknweLr9feJtRGrpDBy	FloyyMenor	64	0	role_1	3336010772
6M6pyt8k3EjvbFo1pZFS75	El negro tecla	64	7	role_3	3908223801
2eXWodjj5K1vVq2CSjl036	DobleP	64	7	role_1	61539717127
4SgKWjM7cJDCh2aY9H4HZf	Marka Akme	63	7	role_1	42759025175
3ZfYo6sKskRv0wOyrZZdAj	Sayian Jimmy	63	0	role_1	2525986562
1HAO6fqdAGX5CiWxBvhiyv	Lolo OG	63	7	role_1	73180089865
3R8XhCi6bUcoR1CJx2XASa	Flor Alvarez	63	7	role_3	2888792616
6C2mFGFh8dz1vKp9l5Ce8P	TWENTY SIX	63	9	role_0	4714906841
6LZA6PhNCwUfHzqfpN1nYL	Angela Torres	62	7	role_1	110297519529
5v0eLOwGUJuH1lvPSzw0xD	Nysix Music	62	0	role_3	12524815492
3aIuAAH6qMvKYrtxxF7FF7	Tayson Kryss	62	9	role_3	7029823381
6pJPxDgaE0H343SrASnY9J	Yesan 雪山	61	7	role_3	17197711873
5nAsuOI0lqqbii7YFCh7cB	Fer Vazquez	60	7	role_3	23107716841
4d7tFHxzWvzfsgCqPAEOSQ	El Joan	60	0	role_3	168474319032
6iYRN5eaz8LSxvwkhmwkRj	j mena	59	7	role_4	90892111864
48nBjHQMSKiboD7Z4fjZLi	R Jota	59	7	role_1	27209075869
7psSmcUfVtqIeuWKKd8Md2	Celso El Potente	59	0	role_3	92462666774
12GqGscKJx3aE4t07u7eVZ	Peso Pluma	92	3	role_1	202524804397
790FomKkXshlbRYZFtlgla	KAROL G	89	5	role_2	63551097407
7Gi6gjaWy3DxyilpF1a8Is	Junior H	89	3	role_1	84559949232
0ys2OFYzWYB5hRDLCsBqxt	Fuerza Regida	88	3	role_1	52474175309
1mcTU81TzQhprhouKaTkpq	Rauw Alejandro	87	5	role_4	13903601354
2R21vXR83lH98kGeO99Y66	Anuel AA	86	5	role_3	267921714
66ihevNkSYNzRAl44dx6jJ	Carin Leon	86	3	role_2	106623501739
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	85	5	role_1	194297999
1i8SpTcr7yvPOmcqrbnVXY	Ozuna	85	5	role_3	2044817882
4VMYDCV2IEDYJArk749S6m	Daddy Yankee	85	5	role_3	962052562
5XJDexmWFLWOkjOEjOVX3e	Eladio Carrion	84	5	role_4	46939050776
4SsVbpTthjScTS7U2hmr1X	Arcángel	83	5	role_1	58728775
0Q8NcsJwoCbZOHHW63su5S	Mora	83	5	role_4	23547272521
6Sbl0NT50roqWvy746MfVf	Gabito Ballesteros	83	3	role_1	33013187938
5xYNmNkaWRqu3e5F4UXME8	Alfredo Olivas	81	3	role_1	95014310397
6nVcHLIgY5pE2YCl8ubca1	Jhayco	81	5	role_4	37576283521
2IMZYfNi21MGqxopj9fWx8	Rels B	81	5	role_4	32691166722
0pePYDrJGk8gqMRbXrLJC8	Luis R Conriquez	81	3	role_1	26241947005
1gW6pz5n1aK249L0GvfQCC	Grupo Marca Registrada	81	3	role_1	10970119455
3l9G1G9MxH6DaRhwLklaf5	Oscar Maydon	81	3	role_1	95458026778
1dKdetem2xEmjgvyymzytS	Grupo Firme	80	3	role_2	8307859762
12vb80Km0Ew53ABfJOepVz	Ñengo Flow	80	5	role_1	103552399
1bfl0AU8SqmLkElptOprhC	Julión Álvarez y su Norteño Banda	80	3	role_0	100239734225
2rmkQLzj0k4nZdQehOUByO	Chino Pacas	80	3	role_1	78553915806
6w9ToX5slZ4uIdmD17hJ3c	Bryant Myers	79	5	role_1	33659099616
77ziqFxp5gaInVrF2lj4ht	Sech	78	5	role_1	13479932817
2jSGzJw0ebJLu7OLVSOcBP	Plan B	78	5	role_3	4748835328
7j6DKwmjbxvpQO8h914uEz	Ryan Castro	78	5	role_4	62292393019
0GM7qgcRCORpGnfcN2tCiB	Tainy	78	5	role_0	1204846337
0eHQ9o50hj6ZDNBt6Ys1sD	Yandel	77	5	role_1	9330764726
6dLuQ5qXxIuWc5urxfIiZR	Calle 24	77	3	role_1	70297315781
2O8vbr4RYPpk6MRA4fio7u	Saiko	77	5	role_5	41398616775
7FsRH5bw8iWpSbMX1G7xf1	Joan Sebastian	76	3	role_0	11931365665
14zUHaJZo1mnYtn6IBRaRP	Justin Quiles	76	5	role_1	12038822984
2cPqdH7XMvwaBJEVjheH8g	Jay Wheeler	76	5	role_3	2627467324
1TA5sGRlKUJXBN4ZyJuDIX	Blessd	76	5	role_4	7925821171
1pQWsZQehhS4wavwh7Fnxd	Lenny Tavárez	76	5	role_1	27366641613
64aJYyrXljOodnUG6jvhRD	DJ Luian	76	5	role_1	337172336
1gJdf4Yybu4X5A2xYV3NMV	Eden Muñoz	76	3	role_1	75987288037
2YRyPiW98bpkARAS4B3OQP	Dei V	76	5	role_5	100588091108
2T1aUibqR2QC2sINIDQOAK	Mambo Kingz	76	5	role_3	9699786027
3RtNN1VnooWEn3KQk03DUL	Noriel	75	5	role_1	3052949315
2x7PC78TmgqpEIjaGAZ0Oz	Trueno	75	7	role_3	7045545605
4F4pp8NUW08JuXwnoxglpN	Bad Gyal	75	5	role_5	35690255911
3vQ0GE3mI0dAaxIMYe5g7z	Paulo Londra	74	7	role_3	116250375065
2MRBDr0crHWE5JwPceFncq	Juan Gabriel	74	3	role_0	13864680863
00XhexlJEXQstHimpZN910	Brytiago	74	5	role_1	2018840872
4aSlfXDn9R60UlbZEboBUy	YOVNGCHIMI	74	5	role_5	38287398828
47MpMsUfWtgyIIBEFOr4FE	Lunay	73	5	role_1	10836240367
0KPX4Ucy9dk82uj4GpKesn	Dalex	73	5	role_3	11917091866
16kOCiqZ1auY4sokSeZuKf	Los Bukis	73	3	role_1	224389154
0VKh7CQDi9MkUvaBMoK1V0	Bronco	73	3	role_1	1203834577
1GKIlPFdcewHtpDVCQ8zmJ	Brray	73	5	role_4	24272088938
0T8Ix53aIN4F7aEKj4EnKy	Jasiel Nuñez	73	3	role_1	66751861823
6w3SkAHYPsQ1bxV7VDlG5y	Cazzu	72	7	role_3	99359424724
1fIJZfSmqQkuqfKNRmrS1V	El Jordan 23	72	0	role_3	1669016192
4bJh7sMPcVRiqe5jlnsWQV	DELLAFUENTE	72	5	role_5	40219663216
7a0XAaPaK2aDSqa8p3QnC7	Beéle	72	5	role_0	45260918961
2CCgb0KApjfQDuTppovpf8	Rvfv	72	5	role_5	6818356951
0FwnPHExlRRxEZPLAi5tmG	JC Reyes	72	5	role_5	52116897024
3nFB4eMP5gdqee2eQb8nZb	Conjunto Primavera	71	3	role_1	13785847908
44WCHvwXBOMz6nm7Mu2ReO	Grupo Bryndis	71	3	role_1	5555760312
4puAp107dCehraE47QXVQX	C.R.O	71	7	role_3	27962526145
1Ts9of7VPZElwPQnqnDSfW	Lyanno	71	5	role_1	21702493464
7pESOE4dEq8Yk4OKlJa3pS	Panter Bélico	71	3	role_1	26306547844
5J7rXWjtn5HzUkJ4Jet8Fr	Alvaro Diaz	71	5	role_0	24354367008
4yxLYO2imECxGYTTV7RQKb	Pailita	70	0	role_3	67328906
2LmcxBak1alK1bf7d1beTr	Juhn	70	5	role_1	10524119903
2XcZshqzPKm3iZcmt73R8D	Pablo Chill-E	70	0	role_3	69961668
2p4aN0Uxkk3iT3HK0cJ2cJ	Tokischa	70	5	role_4	6430815524
51XrH5fQP2oIQynuKxSWcW	Sky Rompiendo	70	5	role_0	69867060457
5szJHKg5xeUlQ9pTqzdpic	Taiu	70	7	role_3	28332759544
5hdhHgpxyniooUiQVaPxQ0	Nio Garcia	69	5	role_3	1269154999
2DspEsT7UXGKd2VaaedgG4	Alex Rose	69	5	role_1	154443399
