Source,Target,Type,Id,Label,Weight,value
Papua New Guinea,Australia,Undirected,5704,,19,19
Papua New Guinea,Philippines,Undirected,5705,,5,5
Papua New Guinea,Indonesia,Undirected,5706,,2,2
Papua New Guinea,Solomon Islands,Undirected,5707,,2,2
Papua New Guinea,Hong Kong,Undirected,5708,,2,2
Papua New Guinea,Fiji,Undirected,5709,,2,2
Papua New Guinea,Japan,Undirected,5710,,2,2
Papua New Guinea,Singapore,Undirected,5711,,2,2
Papua New Guinea,China,Undirected,5712,,1,1
Papua New Guinea,Micronesia,Undirected,5713,,1,1
Greenland,Denmark,Undirected,5714,,2,2
Greenland,Iceland,Undirected,5715,,5,5
Iceland,Finland,Undirected,5716,,4,4
Iceland,Norway,Undirected,5717,,11,11
Iceland,Netherlands,Undirected,5718,,6,6
Iceland,Sweden,Undirected,5719,,2,2
Iceland,Denmark,Undirected,5720,,10,10
Iceland,United States,Undirected,5721,,20,20
Iceland,Belgium,Undirected,5722,,2,2
Iceland,France,Undirected,5723,,8,8
Iceland,Germany,Undirected,5724,,15,15
Iceland,United Kingdom,Undirected,5725,,25,25
Iceland,Canada,Undirected,5726,,5,5
Iceland,Switzerland,Undirected,5727,,2,2
Iceland,Spain,Undirected,5728,,9,9
Iceland,Ireland,Undirected,5729,,1,1
Iceland,Faroe Islands,Undirected,5730,,1,1
Iceland,Hungary,Undirected,5731,,1,1
Iceland,Poland,Undirected,5732,,5,5
Iceland,Latvia,Undirected,5733,,1,1
Iceland,Austria,Undirected,5734,,3,3
Iceland,Lithuania,Undirected,5735,,1,1
Iceland,Czech Republic,Undirected,5736,,2,2
Canada,China,Undirected,5737,,40,40
Canada,Belgium,Undirected,5738,,15,15
Canada,Jordan,Undirected,5739,,6,6
Canada,United States,Undirected,5740,,919,919
Canada,United Kingdom,Undirected,5741,,87,87
Canada,Japan,Undirected,5742,,24,24
Canada,Antigua and Barbuda,Undirected,5743,,7,7
Canada,Aruba,Undirected,5744,,4,4
Canada,United Arab Emirates,Undirected,5745,,8,8
Canada,Dominican Republic,Undirected,5746,,46,46
Canada,Spain,Undirected,5747,,14,14
Canada,Bermuda,Undirected,5748,,4,4
Canada,Barbados,Undirected,5749,,6,6
Canada,Colombia,Undirected,5750,,10,10
Canada,Cuba,Undirected,5751,,78,78
