source,target,weight
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
0,24,1
0,25,1
0,27,1
0,28,1
0,30,1
0,33,1
0,35,1
0,37,1
0,38,1
0,40,1
0,41,1
0,44,1
0,45,1
0,46,1
0,48,1
0,49,1
0,50,1
0,53,1
0,54,1
0,56,1
0,60,1
0,61,1
0,64,1
0,65,1
0,75,1
0,76,1
0,77,1
0,83,1
0,87,1
0,91,1
0,96,1
0,98,1
0,100,1
0,101,1
0,102,1
0,104,1
0,109,1
0,110,1
0,114,1
0,115,1
0,122,1
0,123,1
0,125,1
0,127,1
0,130,1
0,133,1
0,134,1
0,139,1
0,150,1
0,155,1
0,156,1
0,160,1
0,169,1
0,170,1
0,178,1
0,182,1
0,190,1
0,196,1
0,200,1
0,203,1
0,205,1
0,209,1
0,214,1
0,220,1
0,221,1
0,225,1
0,226,1
1,13,1
1,15,1
1,16,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,27,1
1,29,1
1,31,1
1,32,1
1,35,1
1,38,1
1,41,1
1,42,1
1,51,1
1,54,1
1,56,1
1,58,1
1,62,1
1,67,1
1,68,1
1,69,1
1,76,1
1,85,1
1,86,1
1,90,1
1,91,1
1,96,1
1,103,1
1,112,1
1,129,1
1,131,1
1,134,1
1,141,1
1,154,1
1,163,1
1,164,1
1,170,1
1,172,1
1,175,1
1,191,1
1,198,1
1,221,1
1,226,1
1,228,1
2,13,1
2,14,1
2,15,1
2,18,1
2,23,1
2,24,1
2,25,1
2,26,1
2,29,1
2,39,1
2,86,1
2,89,1
2,110,1
2,169,1
2,185,1
2,195,1
3,13,1
3,14,1
3,15,1
3,20,1
3,21,1
3,29,1
3,36,1
3,40,1
3,42,1
3,44,1
3,51,1
3,52,1
3,87,1
3,97,1
3,100,1
3,114,1
3,117,1
3,120,1
3,126,1
3,162,1
3,167,1
3,180,1
3,195,1
3,196,1
4,13,1
4,14,1
4,15,1
4,16,1
4,17,1
4,18,1
4,20,1
4,21,1
4,22,1
4,23,1
4,24,1
4,25,1
4,29,1
4,30,1
4,32,1
4,33,1
4,34,1
4,35,1
4,36,1
4,38,1
4,44,1
4,58,1
4,62,1
4,63,1
4,64,1
4,73,1
4,74,1
4,82,1
4,84,1
4,85,1
4,89,1
4,90,1
4,91,1
4,93,1
4,104,1
4,119,1
4,123,1
4,127,1
4,138,1
4,142,1
4,149,1
4,156,1
4,188,1
4,191,1
4,212,1
5,13,1
5,15,1
5,16,1
5,17,1
5,18,1
5,19,1
5,26,1
5,27,1
5,36,1
5,41,1
5,42,1
5,44,1
5,45,1
5,61,1
5,72,1
5,75,1
5,82,1
5,84,1
5,87,1
5,89,1
5,110,1
5,122,1
5,140,1
5,146,1
5,148,1
5,152,1
5,154,1
5,165,1
5,167,1
5,177,1
5,179,1
5,183,1
5,192,1
5,200,1
5,202,1
5,223,1
6,13,1
6,14,1
6,15,1
6,16,1
6,17,1
6,18,1
6,19,1
6,24,1
6,28,1
6,34,1
6,36,1
6,37,1
6,38,1
6,57,1
6,82,1
6,86,1
6,87,1
6,94,1
6,105,1
6,123,1
6,124,1
6,133,1
6,150,1
6,151,1
6,156,1
6,163,1
6,174,1
6,183,1
6,195,1
6,204,1
6,215,1
7,13,1
7,14,1
7,15,1
7,16,1
7,17,1
7,22,1
7,28,1
7,32,1
7,34,1
7,40,1
7,48,1
7,52,1
7,65,1
7,66,1
7,68,1
7,100,1
7,102,1
7,104,1
7,116,1
7,121,1
7,122,1
7,125,1
7,129,1
7,139,1
7,142,1
7,147,1
7,160,1
7,173,1
7,184,1
7,187,1
8,14,1
8,15,1
8,17,1
8,19,1
8,20,1
8,24,1
8,25,1
8,31,1
8,35,1
8,39,1
8,44,1
8,46,1
8,48,1
8,52,1
8,53,1
8,57,1
8,59,1
8,61,1
8,62,1
8,63,1
8,69,1
8,71,1
8,75,1
8,95,1
8,96,1
8,107,1
8,114,1
8,119,1
8,121,1
8,131,1
8,136,1
8,142,1
8,150,1
8,166,1
8,169,1
8,197,1
8,211,1
8,227,1
9,13,1
9,14,1
9,16,1
9,17,1
9,18,1
9,20,1
9,21,1
9,23,1
9,25,1
9,26,1
9,34,1
9,38,1
9,55,1
9,69,1
9,70,1
9,71,1
9,92,1
9,95,1
9,116,1
9,118,1
9,122,1
9,131,1
9,143,1
9,145,1
9,148,1
9,149,1
9,168,1
9,176,1
9,178,1
9,185,1
9,186,1
9,203,1
10,13,1
10,14,1
10,15,1
10,16,1
10,17,1
10,19,1
10,20,1
10,22,1
10,23,1
10,25,1
10,26,1
10,27,1
10,28,1
10,36,1
10,37,1
10,47,1
10,50,1
10,71,1
10,72,1
10,79,1
10,90,1
10,96,1
10,109,1
10,121,1
10,126,1
10,130,1
10,143,1
10,145,1
10,147,1
10,157,1
10,168,1
10,169,1
10,171,1
10,207,1
10,222,1
11,13,1
11,14,1
11,18,1
11,23,1
11,27,1
11,30,1
11,32,1
11,40,1
11,42,1
11,49,1
11,54,1
11,56,1
11,67,1
11,69,1
11,76,1
11,77,1
11,103,1
11,108,1
11,128,1
11,129,1
11,132,1
11,152,1
11,153,1
11,157,1
11,159,1
11,186,1
11,199,1
11,206,1
12,13,1
12,14,1
12,16,1
12,19,1
12,20,1
12,21,1
12,22,1
12,23,1
12,24,1
12,27,1
12,30,1
12,31,1
12,33,1
12,34,1
12,38,1
12,41,1
12,43,1
12,46,1
12,47,1
12,48,1
12,51,1
12,57,1
12,58,1
12,64,1
12,68,1
12,73,1
12,74,1
12,75,1
12,85,1
12,90,1
12,106,1
12,110,1
12,111,1
12,116,1
12,117,1
12,119,1
12,121,1
12,123,1
12,124,1
12,130,1
12,143,1
12,146,1
12,154,1
12,156,1
12,165,1
12,166,1
12,169,1
12,174,1
12,189,1
12,194,1
12,208,1
12,225,1
12,227,1
12,228,1
13,14,1
13,15,1
13,16,1
13,17,1
13,18,1
13,19,1
13,21,1
13,23,1
13,24,1
13,25,1
13,28,1
13,30,1
13,33,1
13,34,1
13,35,1
13,36,1
13,37,1
13,44,1
13,46,1
13,47,1
13,48,1
13,49,1
13,52,1
13,55,1
13,57,1
13,60,1
13,63,1
13,64,1
13,65,1
13,70,1
13,71,1
13,73,1
13,76,1
13,78,1
13,82,1
13,84,1
13,87,1
13,91,1
13,92,1
13,93,1
13,94,1
13,95,1
13,98,1
13,103,1
13,109,1
13,112,1
13,122,1
13,123,1
13,133,1
13,137,1
13,148,1
13,151,1
13,164,1
13,168,1
13,171,1
13,178,1
13,185,1
13,187,1
13,188,1
13,199,1
13,200,1
13,201,1
13,203,1
13,220,1
14,15,1
14,16,1
14,17,1
14,18,1
14,19,1
14,20,1
14,21,1
14,22,1
14,24,1
14,25,1
14,26,1
14,27,1
14,28,1
14,29,1
14,30,1
14,31,1
14,32,1
14,33,1
14,34,1
14,37,1
14,41,1
14,44,1
14,45,1
14,47,1
14,50,1
14,52,1
14,53,1
14,54,1
14,55,1
14,56,1
14,59,1
14,72,1
14,74,1
14,75,1
14,78,1
14,80,1
14,82,1
14,87,1
14,92,1
14,100,1
14,104,1
14,105,1
14,109,1
14,111,1
14,113,1
14,115,1
14,118,1
14,121,1
14,138,1
14,142,1
14,145,1
14,151,1
14,160,1
14,179,1
14,184,1
14,186,1
14,189,1
14,192,1
14,216,1
15,16,1
15,17,1
15,18,1
15,19,1
15,20,1
15,21,1
15,22,1
15,23,1
15,27,1
15,28,1
15,30,1
15,32,1
15,33,1
15,39,1
15,40,1
15,42,1
15,46,1
15,48,1
15,60,1
15,63,1
15,66,1
15,67,1
15,68,1
15,69,1
15,70,1
15,77,1
15,80,1
15,85,1
15,89,1
15,94,1
15,96,1
15,99,1
15,104,1
15,107,1
15,112,1
15,113,1
15,120,1
15,122,1
15,128,1
15,131,1
15,137,1
15,144,1
15,145,1
15,147,1
15,163,1
15,166,1
15,167,1
15,180,1
15,187,1
15,191,1
15,194,1
15,198,1
15,199,1
15,210,1
15,228,1
16,17,1
16,18,1
16,22,1
16,26,1
16,28,1
16,29,1
16,31,1
16,33,1
16,36,1
16,39,1
16,40,1
16,45,1
16,57,1
16,58,1
16,62,1
16,64,1
16,66,1
16,69,1
16,72,1
16,77,1
16,78,1
16,83,1
16,84,1
16,87,1
16,90,1
16,92,1
16,94,1
16,97,1
16,101,1
16,103,1
16,105,1
16,107,1
16,108,1
16,110,1
16,114,1
16,115,1
16,116,1
16,119,1
16,126,1
16,134,1
16,135,1
16,140,1
16,149,1
16,150,1
16,151,1
16,153,1
16,155,1
16,158,1
16,161,1
16,165,1
16,166,1
16,167,1
16,168,1
16,170,1
16,172,1
16,178,1
16,180,1
16,188,1
16,195,1
16,196,1
16,202,1
16,209,1
16,211,1
16,214,1
16,215,1
16,225,1
17,18,1
17,19,1
17,21,1
17,22,1
17,24,1
17,25,1
17,26,1
17,27,1
17,29,1
17,31,1
17,37,1
17,38,1
17,39,1
17,41,1
17,42,1
17,43,1
17,44,1
17,45,1
17,46,1
17,47,1
17,49,1
17,51,1
17,54,1
17,56,1
17,61,1
17,62,1
17,63,1
17,70,1
17,71,1
17,76,1
17,82,1
17,83,1
17,85,1
17,86,1
17,91,1
17,98,1
17,103,1
17,110,1
17,114,1
17,121,1
17,132,1
17,139,1
17,142,1
17,143,1
17,153,1
17,164,1
17,170,1
17,181,1
17,184,1
17,194,1
17,207,1
17,211,1
18,19,1
18,20,1
18,21,1
18,22,1
18,26,1
18,28,1
18,33,1
18,35,1
18,39,1
18,43,1
18,49,1
18,50,1
18,52,1
18,65,1
18,66,1
18,80,1
18,81,1
18,101,1
18,102,1
18,103,1
18,108,1
18,112,1
18,117,1
18,121,1
18,123,1
18,149,1
18,154,1
18,167,1
18,168,1
18,172,1
18,175,1
18,188,1
18,189,1
18,204,1
19,20,1
19,22,1
19,23,1
19,29,1
19,31,1
19,32,1
19,39,1
19,40,1
19,44,1
19,45,1
19,52,1
19,53,1
19,54,1
19,66,1
19,67,1
19,71,1
19,76,1
19,78,1
19,83,1
19,84,1
19,97,1
19,100,1
19,102,1
19,115,1
19,118,1
19,120,1
19,129,1
19,132,1
19,135,1
19,138,1
19,157,1
19,158,1
19,171,1
19,191,1
19,200,1
19,210,1
19,214,1
20,21,1
20,24,1
20,25,1
20,26,1
20,30,1
20,34,1
20,38,1
20,39,1
20,44,1
20,53,1
20,56,1
20,57,1
20,58,1
20,60,1
20,63,1
20,67,1
20,69,1
20,72,1
20,88,1
20,119,1
20,145,1
20,157,1
20,176,1
20,178,1
20,195,1
20,205,1
20,208,1
20,211,1
21,23,1
21,26,1
21,27,1
21,28,1
21,29,1
21,37,1
21,42,1
21,45,1
21,46,1
21,47,1
21,52,1
21,59,1
21,65,1
21,67,1
21,69,1
21,82,1
21,93,1
21,96,1
21,99,1
21,101,1
21,105,1
21,107,1
21,111,1
21,117,1
21,131,1
21,132,1
21,156,1
21,172,1
21,202,1
21,204,1
21,218,1
21,221,1
21,222,1
22,24,1
22,26,1
22,27,1
22,37,1
22,40,1
22,44,1
22,47,1
22,49,1
22,56,1
22,60,1
22,67,1
22,71,1
22,75,1
22,79,1
22,80,1
22,89,1
22,93,1
22,103,1
22,105,1
22,106,1
22,109,1
22,111,1
22,114,1
22,129,1
22,132,1
22,135,1
22,139,1
22,143,1
22,145,1
22,157,1
22,163,1
22,164,1
22,165,1
22,181,1
22,184,1
22,188,1
22,191,1
22,196,1
22,199,1
22,201,1
22,202,1
22,206,1
22,211,1
22,222,1
22,225,1
23,25,1
23,28,1
23,29,1
23,31,1
23,32,1
23,35,1
23,37,1
23,38,1
23,39,1
23,42,1
23,47,1
23,48,1
23,49,1
23,50,1
23,52,1
23,55,1
23,65,1
23,66,1
23,68,1
23,69,1
23,70,1
23,72,1
23,75,1
23,77,1
23,79,1
23,83,1
23,84,1
23,90,1
23,106,1
23,107,1
23,117,1
23,127,1
23,129,1
23,134,1
23,138,1
23,144,1
23,147,1
23,160,1
23,172,1
23,174,1
23,184,1
23,186,1
23,188,1
23,191,1
23,194,1
23,199,1
23,200,1
23,201,1
23,206,1
23,208,1
23,213,1
23,217,1
24,25,1
24,29,1
24,30,1
24,31,1
24,34,1
24,35,1
24,36,1
24,37,1
24,49,1
24,56,1
24,71,1
24,73,1
24,84,1
24,94,1
24,96,1
24,100,1
24,109,1
24,113,1
24,115,1
24,116,1
24,118,1
24,138,1
24,144,1
24,161,1
24,167,1
24,168,1
24,187,1
24,191,1
24,196,1
24,205,1
24,209,1
25,26,1
25,27,1
25,28,1
25,30,1
25,31,1
25,33,1
25,35,1
25,36,1
25,38,1
25,41,1
25,43,1
25,47,1
25,50,1
25,54,1
25,64,1
25,69,1
25,89,1
25,94,1
25,97,1
25,100,1
25,102,1
25,110,1
25,116,1
25,123,1
25,146,1
25,158,1
25,160,1
25,174,1
25,176,1
25,185,1
25,201,1
25,204,1
25,212,1
25,215,1
25,217,1
26,32,1
26,40,1
26,42,1
26,43,1
26,48,1
26,51,1
26,52,1
26,67,1
26,74,1
26,77,1
26,79,1
26,92,1
26,95,1
26,107,1
26,117,1
26,119,1
26,126,1
26,127,1
26,136,1
26,138,1
26,141,1
26,142,1
26,143,1
26,146,1
26,163,1
26,166,1
26,181,1
26,183,1
26,192,1
26,203,1
26,213,1
27,30,1
27,32,1
27,34,1
27,35,1
27,45,1
27,58,1
27,63,1
27,65,1
27,66,1
27,71,1
27,74,1
27,81,1
27,88,1
27,90,1
27,91,1
27,105,1
27,108,1
27,119,1
27,127,1
27,132,1
27,136,1
27,146,1
27,151,1
27,154,1
27,155,1
27,165,1
27,187,1
27,195,1
27,197,1
27,203,1
28,29,1
28,33,1
28,37,1
28,40,1
28,43,1
28,45,1
28,46,1
28,49,1
28,53,1
28,59,1
28,61,1
28,63,1
28,65,1
28,70,1
28,72,1
28,74,1
28,75,1
28,87,1
28,89,1
28,96,1
28,98,1
28,102,1
28,104,1
28,108,1
28,111,1
28,124,1
28,141,1
28,149,1
28,155,1
28,160,1
28,161,1
28,182,1
28,185,1
28,195,1
28,197,1
28,198,1
28,211,1
29,30,1
29,31,1
29,32,1
29,41,1
29,42,1
29,46,1
29,51,1
29,58,1
29,63,1
29,65,1
29,67,1
29,74,1
29,81,1
29,95,1
29,98,1
29,100,1
29,103,1
29,114,1
29,117,1
29,118,1
29,120,1
29,123,1
29,128,1
29,135,1
29,136,1
29,144,1
29,163,1
29,175,1
29,193,1
29,198,1
29,211,1
29,213,1
29,219,1
29,226,1
30,31,1
30,33,1
30,36,1
30,37,1
30,41,1
30,43,1
30,45,1
30,51,1
30,53,1
30,58,1
30,66,1
30,67,1
30,70,1
30,75,1
30,85,1
30,88,1
30,90,1
30,97,1
