author;n;primary_subject
Guillaume Bal;2;No primary subject
Tom Chou;3;No primary subject
Gao Shan;3;General Physics
Lajos Diosi;2;Chemical Physics
A.P. Potylitsyn;10;Accelerator Physics
Ariel Caticha;15;Data Analysis, Statistics and Probability
Simon R. Schultz;2;Biological Physics
Stefano Panzeri;2;Biological Physics
J.N. Abdurashitov;1;Instrumentation and Detectors
V.N. Gavrin;1;Instrumentation and Detectors
A.V. Kalikhov;1;Instrumentation and Detectors
A.A. Shikhin;1;Instrumentation and Detectors
V.E.Yants;1;Instrumentation and Detectors
O.S. Zaborskaya;1;Instrumentation and Detectors
A.A. Klimenko;1;Instrumentation and Detectors
S.B. Osetrov;1;Instrumentation and Detectors
A.A. Smolnikov;1;Instrumentation and Detectors
S.I. Vasiliev;1;Instrumentation and Detectors
F. Sattin;17;No primary subject
N.P. Andion;1;Atomic Physics
A.P.C. Malbouisson;5;No primary subject
A. Mattos Neto;1;Atomic Physics
Victor I. Matveev;1;Atomic Physics
Susan B. Rempe;6;No primary subject
Lawrence R. Pratt;18;Chemical Physics
Gerhard Hummer;5;Chemical Physics
Joel D. Kress;3;Chemical Physics
Richard L. Martin;1;Chemical Physics
Antonio Redondo;1;Chemical Physics
Michael Schreiber;16;No primary subject
Dmitry Kilin;1;Chemical Physics
Ulrich Kleinekathoefer;9;Chemical Physics
R. Marani;1;Atomic Physics
L. Cognet;1;Atomic Physics
V. Savalli;3;Atomic Physics
N. Westbrook;2;Atomic Physics
C.I. Westbrook;3;Atomic Physics
A. Aspect;10;Atomic Physics
Robert M. Kerr;5;Fluid Dynamics
Axel Brandenburg;8;No primary subject
Gerd van de Sand;2;Atomic Physics
Jan M Rost;8;No primary subject
Georgii Miroshnichenko;1;Optics
Andrei Rybin;1;Optics
Ilia Vadeiko;1;Optics
Jussi Timonen;1;Optics
Fyodor V. Tkachov;6;Data Analysis, Statistics and Probability
Russell K. Standish;4;General Physics
Vilen Melik-Alaverdian;3;Chemical Physics
M.P. Nightingale;1;Chemical Physics
G. D. van Albada;1;Instrumentation and Detectors
E. Coccia;6;No primary subject
V. Fafone;3;No primary subject
H. van der Graaf;2;Instrumentation and Detectors
G. Heijboer;1;Instrumentation and Detectors
J. W. van Holten;1;Instrumentation and Detectors
W. J. Kasdorp;1;Instrumentation and Detectors
J. B. van der Laan;1;Instrumentation and Detectors
L. Lapikas;1;Instrumentation and Detectors
G. Mazzitelli;6;No primary subject
G. J. L. Nooren;1;Instrumentation and Detectors
C. W. J. Noteboom;1;Instrumentation and Detectors
J. E. J. Oberski;1;Instrumentation and Detectors
G. Pallottino;1;Instrumentation and Detectors
H. Z. Peek;1;Instrumentation and Detectors
F. Ronga;3;No primary subject
A. Schimmel;1;Instrumentation and Detectors
T. G. B. W. Sluijk;1;Instrumentation and Detectors
P. Steman;1;Instrumentation and Detectors
J. Venema;1;Instrumentation and Detectors
P. K. A. de Witt Huberts;1;Instrumentation and Detectors
P. K. Biswas;3;No primary subject
Sadhan K. Adhikari;21;No primary subject
Karl Svozil;17;General Physics
Gina Hamilton;1;History and Philosophy of Physics
J. L. McCauley;2;Classical Physics
Ulrich H.E. Hansmann;9;Statistical Mechanics
H. N. Núñez-Yépez;8;Atomic Physics
E. Guillaumín-España;2;No primary subject
R. P. Martínez-y-Romero;6;Atomic Physics
A. L. Salas-Brito;10;Atomic Physics
Robert D. Cousins;5;Data Analysis, Statistics and Probability
Constantine Yannouleas;28;Mesoscale and Nanoscale Physics
Uzi Landman;29;Mesoscale and Nanoscale Physics
Alejandro Rivero;4;History and Philosophy of Physics
Chao Yuan Yang;1;General Physics
Leonid Ya. Kobelev;2;No primary subject
Do Minh Chi;2;General Physics
Daniel M. Kaplan;12;Accelerator Physics
C. Sean Bohun;1;Classical Physics
F. I. Cooperstock;1;Classical Physics
Michel Zamboni-Rached;12;No primary subject
Erasmo Recami;29;No primary subject
J. Perello;3;Physics and Society
J. M. Porra;1;Physics and Society
M. Montero;2;Physics and Society
J. Masoliver;3;Physics and Society
A. V. Telnov;1;Computational Physics
S. Luitz;2;No primary subject
T. J. Pavel;1;Computational Physics
O. H. Saxton;1;Computational Physics
M. R. Simonson;1;Computational Physics
Stefano Sello;4;Astrophysics
